,rom_setting,length,danger,fear,density,centralization,fraction_dirspeech,fraction_indirspeech,fraction_fid
00016-00,0.0,0.00828806985432489,0.0988114658587774,0.21861460471153638,0.5,0.7999999999999999,0.3456564942185595,0.3341331388676124,0.03584005416886852
00397-00,0.0,0.009677338414992478,0.0,0.0,0.0,0.0,0.3549647860034803,0.23632933202912365,0.15565230093199794
00762-00,0.041835052291844796,0.011618616726951943,0.0,0.0,0.0,0.0,0.3451575175459882,0.4482046825389997,0.0028455734995676543
00750-00,0.019808845722021892,0.1781314337859021,0.0,0.0,0.0,0.0,0.46235106566167233,0.21792239088951484,0.16736670770158138
00666-00,0.030687474110345392,0.2516609814944674,0.0,0.0,0.0,0.0,0.4171859111654583,0.40834345976433356,0.15878326960559938
00732-00,0.0,0.009294365142565103,0.148148148148127,0.29648119701883147,1.0,0.0,0.3236491418523004,0.2591396411242467,0.0026184231491446167
00353-00,0.0,0.0011542022072466467,0.453781512605025,0.3006686545585974,0.0,0.0,0.2897478717406268,0.11245147864076228,0.0
00100-00,0.0,0.007585511989044324,0.1646341463414061,0.30031170775417426,0.6476190476190476,0.46736842105263154,0.13554270892373543,0.2560300794551644,0.022206962639930126
00224-00,0.04726004392972876,0.04185105509136554,0.0882393747398632,0.31322962390538256,0.4857142857142857,0.64,0.3543022323311967,0.1007282392388432,0.19382356485479516
00751-00,0.041835052291844796,0.011695211381437417,0.0,0.0,0.0,0.0,0.41706372921758106,0.34336724918628364,0.0011945131779941517
00497-00,0.02431085611339051,0.01831008421450201,0.0,0.0,0.0,0.0,0.424268977048356,0.24640757621064602,0.048902102696108084
00475-00,0.03193067668624425,0.04373950950367985,0.0,0.0,0.0,0.0,0.4738347417027484,0.37505192883661514,0.049661848959745035
00712-00,0.011885307433213144,0.230549910001281,0.0,0.0,0.0,0.0,0.3745378715393268,0.09701761637827643,0.07976155188600778
00255-00,0.0,0.011063965780677809,0.0736565201052006,0.2135455180969234,0.6794871794871795,0.45454545454545453,0.2621519311966582,0.18557218877805623,0.27297392435972506
00306-00,0.07598413372709917,0.033906340584734164,0.1258092360811436,0.312862415943865,0.7818181818181819,0.3199999999999999,0.26739929597747764,0.1668026498528544,0.02593077683411967
00747-00,0.04114144880727624,0.0020548496961965475,0.0,0.0,0.0,0.0,0.17222299788315662,0.241413909752881,0.0
00199-00,0.09867426609959697,0.0237681136453377,0.1338112305853828,0.3713841891376865,0.8,0.2933333333333333,0.5819889112103909,0.30864378357334904,0.024514515098979926
00759-00,0.041835052291844796,0.005115994680633306,0.0,0.0,0.0,0.0,0.36678820387911126,0.1310124514466183,0.004435451741317816
00675-00,0.03269081005889758,0.7907262361782965,0.1253650943561048,0.3228738301982849,0.309666614737498,0.8326374027872018,0.5155144829199012,0.29894711773141597,0.01222905603390335
00465-00,0.3416076019725549,0.0361526769171444,0.0905134899912903,0.27039006736640026,0.6102418207681366,0.49369369369369365,0.40638078383073845,0.1617216522091254,0.047893106697132815
00696-00,0.037532549789094115,0.10261570745067898,0.0,0.0,0.0,0.0,0.2492530783501694,0.2687393932689293,0.16545762162937017
00225-00,0.15849281228589607,0.0012268350692587354,0.2621359223300059,0.5736941921564535,0.5,0.5,0.5033019739279547,0.30968399283532466,0.03985838318682396
00722-00,0.024661758091125537,0.0602047190230748,0.0436331255565452,0.2626335707925194,0.6584699453551912,0.42372881355932207,0.35057446158262584,0.12922798989756393,0.17200687762826158
00247-00,0.08605778368097007,0.020297583438650985,0.2149308755760202,0.3364608625274596,0.7187153931339978,0.3540069686411149,0.4604012107827132,0.11256865959920784,0.1916956516290949
00398-00,0.09551093568453184,0.026143868531878566,0.2368384303867855,0.24789956449685877,0.4861660079051383,0.6753246753246753,0.4427694510498279,0.21694401016170847,0.1926847669179836
00426-00,0.0,0.0010828899427256869,0.5360303413399307,0.3607701335363335,0.9,0.19999999999999993,0.2733794647586531,1.0,0.0
00027-00,0.11460832167741236,0.04814238153910356,0.0,0.0,0.0,0.0,0.3908327308892618,0.4668428536760855,0.03640624534943282
00492-00,0.0,0.025257747615331082,0.0,0.0,0.0,0.0,0.38464605866665497,0.32354578278839585,0.11610595557727336
00656-00,0.01933152413835871,0.10944847886977985,0.0,0.0,0.0,0.0,0.5246812495891856,0.25006665576212106,0.10647420229480145
00136-00,0.033427427155911946,0.02572391852969958,0.0,0.0,0.0,0.0,0.40042879355190203,0.26947164971905,0.03053430454070824
00653-00,0.05942653716606567,0.1024466709718145,0.0,0.0,0.0,0.0,0.4131302955801131,0.258033479203945,0.16126783965070637
00338-00,0.024025072123303633,0.05800460360285408,0.1307425817140861,0.4464546011107382,0.4227642276422764,0.7273170731707317,0.09139704488122513,0.3664424728975926,0.06712201401331433
00196-00,0.0,0.008355420326372464,0.0,0.0,0.0,0.0,0.5913875563489576,0.2534109099818555,0.005822954799127637
00768-00,0.041835052291844796,0.021857209075674202,0.2230187176423417,0.24592706071778783,0.4621848739495798,0.6844919786096256,0.44655267337276316,0.2509683157667466,0.02474768235591576
00735-00,0.13370970862364778,0.037401962143752326,0.0,0.0,0.0,0.0,0.5050163880037124,0.449718961665307,0.07711708752186534
00533-00,0.0,0.02728750595919618,0.0,0.0,0.0,0.0,0.16294865017082713,0.24194743350180697,0.36375503828092504
00758-00,0.041835052291844796,0.007415154912688697,0.0,0.0,0.0,0.0,0.3214418945993614,0.41327550308661826,0.05855186145446151
00548-00,0.05688324845370286,0.6919600704142582,0.1252028324876049,0.30691981770277,0.3535071095341105,0.7772905825079738,0.38614787126035055,0.2649461505445766,0.025589288397171794
00566-00,0.040145019375614474,0.08340365514973595,0.0791137026239093,0.21222573330407427,0.4310288867250892,0.7004995004995005,0.6126790787554993,0.2619600759038708,0.14763121498632684
00632-00,0.007179044758316662,0.23463847983381603,0.0,0.0,0.0,0.0,0.5349735673720739,0.42439364939394764,0.02295080053306906
00625-00,0.06872908332086661,0.031976947650194855,0.0978165938864634,0.24866256593260386,0.7352941176470589,0.36,0.4270037206090731,0.32039174910328505,0.2064558017575249
00261-00,0.0,0.006245105535548504,0.4231536926147133,0.47545947531460314,0.5238095238095238,0.7999999999999999,0.4086289500178607,0.09822022038158024,0.0044507385737992495
00098-00,0.0,0.015954138290328077,0.0,0.0,0.0,0.0,0.12330809034373928,0.38789724554105726,0.1204050271157524
00017-00,0.048621712226780994,0.041625232920382504,0.0,0.0,0.0,0.0,0.42767412704861774,0.3538411302795721,0.07792615020474469
00589-00,0.0,0.012500775851026038,0.0,0.0,0.0,0.0,0.23175313556178134,0.40704876199854434,0.07108993392393045
00185-00,0.08382612119876176,0.026442323564873693,0.2671806657274523,0.28858394108992563,0.5375375375375375,0.5866666666666667,0.319699697190464,0.3385883157692224,0.04923274160184325
00346-00,0.0,0.006293967642720273,0.5799392097264036,0.12249485243651295,0.8,0.39999999999999997,0.2617892545861448,0.15569056174006188,0.005989502044896885
00294-00,0.5348388344945909,0.00037504968748060377,0.0,0.0,0.0,0.0,0.07947595995811056,0.30806154583791895,0.0
00355-00,0.0,0.00014130393155079084,0.321839080459775,0.2990977629464837,0.0,0.0,0.25540840108792534,0.49060250363488067,0.0
00257-00,0.0,0.019091877929250312,0.0,0.0,0.0,0.0,0.4460599079256408,0.14839558784987222,0.0926287734614393
00277-00,0.0,0.011074530560606841,0.0,0.0,0.0,0.0,0.4368023251596713,0.387947962249656,0.01695974174698538
00698-00,0.009383137447273524,0.07265002977947342,0.0,0.0,0.0,0.0,0.4425148395290328,0.21204447408932844,0.05905361443767389
00026-00,0.0,0.03469209609195585,0.2806311553530187,0.3471704116417042,0.3908045977011494,0.7832512315270936,0.4663546732537846,0.3173492461624198,0.0407122932943966
00610-00,0.0,0.020675274321113848,0.0366492146596861,0.24707373942089356,0.7523809523809524,0.3428571428571428,0.5525581328458581,0.5265732030365591,0.10946706749146826
00095-00,0.07640554778494156,0.018720790034243096,0.0,0.0,0.0,0.0,0.16586058346824153,0.45992385211475695,0.07136621465593743
00214-00,0.0,0.0061671902835719,0.06283343212804,0.1518371034667375,0.4242424242424242,0.5672727272727273,0.3330617442308359,0.31445805340995353,0.0686351334418762
00263-00,0.24521745976844578,0.009679979609974737,0.2005943536404034,0.3967989582834039,0.421505376344086,0.7420689655172413,0.238360564896545,0.33352716636617413,0.0
00279-00,0.04011291258709433,0.04676235716087387,0.0,0.0,0.0,0.0,0.3376626647501727,0.2797498232362602,0.030546378404451683
00028-00,0.07131184459927879,0.07867063374153002,0.0,0.0,0.0,0.0,0.4232098822921671,0.3654504749301932,0.04704317183840478
00343-00,0.07007854144605319,0.02238148627965237,0.0811298076923135,0.24277876861042152,0.5928853754940712,0.535064935064935,0.3850767320409816,0.15142701698306194,0.053172598450275464
00597-00,0.0,0.017096455120154563,0.1684210526315619,0.37801290861562514,0.6888888888888889,0.4666666666666667,0.3446777212055414,0.2085210792918517,0.03011635033408283
00411-00,0.0,0.012576049908020385,0.0,0.0,0.0,0.0,0.31279705085034726,0.28643662166769956,0.09808379090458683
00553-00,0.15804859279834244,0.04750849474336169,0.0598669623059909,0.2635446717370399,0.3747747747747748,0.7708256201406887,0.29841740671614747,0.2587785650080749,0.17064557892393103
00139-00,0.0,0.03656470333437661,0.0,0.0,0.0,0.0,0.43652814682737684,0.32061877624513335,0.11864096514819325
00530-00,0.0,0.009015719071936906,0.0,0.0,0.0,0.0,0.19770716111723607,0.3406323737612081,0.027386644389541186
00014-00,0.0356559222996394,0.0234617350273958,0.0,0.0,0.0,0.0,0.4440643171814151,0.1816483274673108,0.036142261527996815
00422-00,0.019101386946235394,0.018567600725272145,0.0,0.0,0.0,0.0,0.17045960874229044,0.5708696279754003,0.059890548219296236
00478-00,0.0,0.02285690137645877,0.0,0.0,0.0,0.0,0.258076665027894,0.20096760026548716,0.056799782539325806
00332-00,0.02228495143727463,0.027000936303621215,0.0678733031674256,0.16800376983805138,0.5978835978835979,0.5196581196581196,0.24824626640227673,0.14926825544509706,0.01124802583881135
00064-00,0.0,0.01757847320441661,0.0,0.0,0.0,0.0,0.5367354388758382,0.020577669115963062,0.0
00664-00,0.03488079355399507,0.16306473700961263,0.0,0.0,0.0,0.0,0.46970761861885213,0.2264197524836799,0.12461256574814261
00044-00,0.0,0.00871726403894178,0.0,0.0,0.0,0.0,0.41573387445137744,0.435105127032763,0.008060121981534456
00031-00,0.13370970862364778,0.011378267983566484,0.0,0.0,0.0,0.0,0.4699939029946989,0.2525049162182212,0.00876201782472472
00442-00,0.10696776689891821,0.020926187844428335,0.061265774010213,0.3206628528339094,0.7222222222222222,0.4285714285714285,0.6814323733240004,0.18032343802576944,0.1304663483592661
00246-00,0.0,0.031134406450854628,0.0,0.0,0.0,0.0,0.4078115422789613,0.13266472851870356,0.19747865255021083
00486-00,0.1002822814677358,0.02279615389186684,0.0,0.0,0.0,0.0,0.2585284195287515,0.3521534431992068,0.03137310785604215
00303-00,0.04114144880727624,0.009389448161926382,0.0,0.0,0.0,0.0,0.4683057914753291,0.2720058073602831,0.04514312089370306
00636-00,0.0,0.10621169441902295,0.0,0.0,0.0,0.0,0.5384591719783179,0.38340658922547455,0.03715846466767945
00499-00,0.0,0.022847657194020866,0.080645161290323,0.3137145293427808,0.5008403361344538,0.6352941176470588,0.5715395697650314,0.22476990701805705,0.059179891363554435
00376-00,0.0,0.0029885121224246703,0.1250000000000089,0.3669313354573208,1.0,0.0,0.4209875782189705,0.48359266772214526,0.011687176873224854
00141-00,0.06685485431182386,0.03063257940422565,0.0,0.0,0.0,0.0,0.5959510397165143,0.20664731005031434,0.033981947725180026
00595-00,0.5,0.007333277868238707,0.0960548885077192,0.5396970311760331,0.4476190476190476,0.7648351648351648,0.18528549243867584,0.33709977853464623,0.006395454246601474
00300-00,0.0,0.01049346766451013,0.0,0.0,0.0,0.0,0.3277255172933623,0.431231318183887,0.1214146408639288
00635-00,0.032414474817854005,0.03370164797360918,0.0,0.0,0.0,0.0,0.516135902698317,0.26125406797008693,0.024741358519776976
00409-00,0.048621712226780994,0.02846151712880976,0.0,0.0,0.0,0.0,0.36815367240517577,0.3416196175173871,0.15766316731017058
00470-00,0.33605640319322605,0.03951887992203193,0.0598717034925163,0.3443954582729783,0.4524390243902439,0.6907692307692307,0.29922918131461623,0.2967269002164124,0.033626813850987224
00539-00,0.12969021910517897,0.12787345506601006,0.0844453296156172,0.3022389298280554,0.5397435897435897,0.5813765182186235,0.2739937899201404,0.20655197946729165,0.013185028571360693
00363-00,0.0,0.0009257388412813494,0.0780141843971199,0.8131720430107525,0.0,0.0,0.22372482728208146,0.25425191534329383,0.0
00366-00,0.0,0.038226014978216746,0.0,0.0,0.0,0.0,0.42986990042728573,0.30922620566134323,0.010722574204995953
00450-00,0.048621712226780994,0.016342393952719973,0.0,0.0,0.0,0.0,0.31970455558847044,0.17464916698639138,0.029521489759215855
00456-00,0.01725286562885777,0.03563764389560413,0.0,0.0,0.0,0.0,0.3954464193228025,0.42765490274481177,0.022789773470865995
00680-00,0.053483883449459105,0.07819125685225023,0.0,0.0,0.0,0.0,0.4908234406507103,0.2738129662061888,0.04453156856313346
00633-00,0.07443173605333692,0.0674191431171119,0.0555776101627222,0.33353289195661356,0.5439024390243903,0.5753846153846154,0.3854642149632056,0.35153027653319247,0.12696954823853449
00676-00,0.022921664335482476,0.1663543453600147,0.0,0.0,0.0,0.0,0.3668148006243093,0.1883360948359083,0.1014638522261341
00159-00,0.06062788947132373,0.045355920832821604,0.0970695970696003,0.3591035980148881,0.6838235294117647,0.42999999999999994,0.4368217129512785,0.2890261426386069,0.03761988443946783
00025-00,0.07640554778494156,0.06272045724367532,0.0,0.0,0.0,0.0,0.5494784160313091,0.3653412481333329,0.03712304106304537
00581-00,0.0,0.006844656796521019,0.0,0.0,0.0,0.0,0.06565288385252951,0.751483788130882,0.015422098602139877
00119-00,0.04114144880727624,0.034303840429563956,0.0,0.0,0.0,0.0,0.2107074904097227,0.28204605706779057,0.034698108455753024
00745-00,0.05942653716606567,0.0028221168385424303,0.0392156862745108,0.14577874160416843,0.0,0.0,0.5751890546903675,0.5927101221482753,0.0
00514-00,0.048621712226780994,0.0419910384254252,0.0,0.0,0.0,0.0,0.6468273681862196,0.31750006073063236,0.050867657349663885
00118-00,0.14451059669736713,0.03446627392097281,0.1188475390156147,0.38496868281362684,0.6561264822134387,0.4519480519480519,0.38829913096902685,0.4151165294932539,0.03327408003906414
00559-00,0.026603440632697248,0.12469213570988058,0.0351231267414726,0.2670850786848877,0.6005398110661269,0.5052631578947367,0.38940155940790955,0.3909537336723982,0.04457355284951868
00520-00,0.0,0.018234810157507664,0.0,0.0,0.0,0.0,0.3491900055697545,0.1480761571028763,0.044610139001348234
00545-00,0.0637639155036427,0.12561391275868855,0.0374149659863958,0.20650770705928895,0.4174406604747162,0.7083304287208085,0.5687388098992914,0.28762435736276,0.04894920405915666
00369-00,0.0,0.011388832763495517,0.0,0.0,0.0,0.0,0.18412712636592413,0.08713284611935788,0.003817803509762353
00183-00,0.30362006475030046,0.012278915472516385,0.1505376344085189,0.34497148032527813,0.6388888888888888,0.5571428571428572,0.4720586116986153,0.3427237693455254,0.015414460538777701
00336-00,0.0,0.010708725055564139,0.0972774548791712,0.25585027591658754,0.5,1.0,0.051273656361443445,0.2544822557957103,0.08791743341115274
00649-00,0.0356559222996394,0.12076996116122779,0.0,0.0,0.0,0.0,0.6986222371923951,0.31412420348151576,0.02429247233565781
00024-00,0.0,0.009586217188104587,0.0,0.0,0.0,0.0,0.2991535183348267,0.35233125322638986,0.012443130500399878
00587-00,0.0,0.008162613092667647,0.0,0.0,0.0,0.0,0.25876069937137886,0.2992305844708333,0.03635045483754511
00552-00,0.0,0.05183741331928218,0.320353365105005,0.3141824467056098,0.4412580943570768,0.7002898550724637,0.5790256123479178,0.35827328304423983,0.10221827981814642
00727-00,0.23567388910271742,0.05547830060232452,0.0608412618928435,0.29909963511575577,0.4216956682710107,0.7132420091324201,0.35984666378166097,0.20706357767952055,0.1770391034484023
00384-00,0.048621712226780994,0.006801077079313766,0.0,0.0,0.0,0.0,0.5339815216512293,0.20077293154567644,0.16782643896615335
00557-00,0.12751706002543117,0.352776490195224,0.0364846913806004,0.2730920890445475,0.4021813224267212,0.7262939958592133,0.21858345675019614,0.3111471423017226,0.0146866378625115
00320-00,0.0,0.008043759318466046,0.0,0.0,0.0,0.0,0.05877802774662993,0.1154289975566172,0.06740048937342394
00519-00,0.2674194172472955,0.006777306324473446,0.0,0.0,0.0,0.0,0.41074196910307625,0.3335151764474411,0.0049292854839450015
00616-00,0.07323486287975811,0.04228421106845582,0.0394579945799468,0.25570183873881747,0.5680672268907563,0.5497326203208556,0.3705451513947423,0.26335908456556206,0.1718764858115511
00186-00,0.16045165034837727,0.04134130445978979,0.0,0.0,0.0,0.0,0.376110574970517,0.3199503487152036,0.04898001522434886
00301-00,0.0,0.022575614110848314,0.0,0.0,0.0,0.0,0.582672703158258,0.4158125172787045,0.026613545867550038
00198-00,0.07131184459927879,0.02745654243806068,0.0,0.0,0.0,0.0,0.417713508863944,0.3575438784530711,0.09059013841788155
00128-00,0.0,0.004405513230405965,0.0,0.0,0.0,0.0,0.1811080153592636,0.28276932780601516,0.021931353767387352
00508-00,0.02431085611339051,0.029875877041808798,0.0,0.0,0.0,0.0,0.3791553284728168,0.41145732915920535,0.03374827561040703
00360-00,0.0,0.0006431309781797677,0.1111111111110773,0.13142174432496972,0.0,0.0,0.19224175694226175,0.4641451917273414,0.0
00484-00,0.3787465188153674,0.008219398784786188,0.1234756097561063,0.364770467261124,0.5818181818181818,0.6133333333333333,0.211198374169034,0.28691095299996483,0.2572698539724714
00403-00,0.0,0.018768331543923735,0.0,0.0,0.0,0.0,0.2531813055573877,0.21679721015093198,0.014031317776078113
00561-00,0.07847690806046521,0.13026901891491788,0.0432829726418961,0.2770673166283944,0.4273769708552317,0.7024175824175825,0.30002506886747915,0.2316921201293362,0.197024512874922
00588-00,0.0891398057490985,0.006647887770342815,0.0,0.0,0.0,0.0,0.34651165742882506,0.6427293928905659,0.06667067485064933
00061-00,0.0,0.003515430521385096,0.0,0.0,0.0,0.0,0.3663461939277482,0.11121392800039441,0.0386844212692397
00270-00,0.0,0.010242554141195643,0.0,0.0,0.0,0.0,0.07632877512439344,0.3691406369069511,0.06480402148320215
00459-00,0.0,0.02295858738327569,0.1180722891565847,0.2902599645895409,0.75,0.33999999999999997,0.5835619620714433,0.3984722491386335,0.02264499725385516
00549-00,0.09192011100051513,0.256185348499075,0.044138585666828,0.28705806459173316,0.4498797113071371,0.6756771545827632,0.3992992366294029,0.4139220748922066,0.038361550709079845
00307-00,0.07932617042198181,0.030672197328959518,0.1117038793387378,0.289727687800235,0.8455882352941176,0.21,0.37376061690691176,0.19262551865151978,0.13473839592595757
00578-00,0.5068049164275568,0.04183388732398086,0.0794451450189159,0.35760428389989474,0.4166666666666667,0.7254545454545454,0.32785168706413836,0.34447984091371536,0.05207165538161598
00404-00,0.16518442627538532,0.028287198259980748,0.2077031412650469,0.22525760208447568,0.6198830409356725,0.5098039215686273,0.297082607204261,0.18766302337026333,0.018284973100880522
00438-00,0.10118572544492262,0.0378351181208426,0.0,0.0,0.0,0.0,0.4483621520388749,0.46378598653255815,0.07688306734688162
00741-00,0.0,0.0018963779972610807,0.2276422764227642,0.30807981466911405,0.0,0.0,0.0,0.09395376506324393,0.0
00265-00,0.0891398057490985,0.00566932502941631,0.0,0.0,0.0,0.0,0.3074192514425335,0.1629734280350677,0.012908160465658566
00433-00,0.07640554778494156,0.0088691327504216,0.0,0.0,0.0,0.0,0.5145946211777273,0.21060829013198087,0.04545492407520009
00739-04,0.053483883449459105,0.003502224546473807,0.0,0.0,0.0,0.0,0.1884507184449498,0.2573223064153115,0.0
00611-00,0.1522094386002195,0.07354671547594994,0.0435061437036671,0.27899097088272157,0.5844155844155844,0.5485714285714285,0.1628890362311682,0.4230827689498475,0.14961817839613203
00065-00,0.0,0.0009957305083111803,0.2680151706699653,0.18806102705617356,0.7,0.6,0.3146746909302645,0.3319213165838931,0.0
00299-00,0.07640554778494156,0.011115469082831836,0.0,0.0,0.0,0.0,0.5316485378278002,0.38461270172330203,0.009474652769311295
00416-00,0.0,0.006713917644899259,0.0600907029478478,0.18199564772145396,0.0,0.0,0.3004223511523577,0.05926356955907999,0.04493495576317079
00067-00,0.0,0.0014262452904191974,0.0,0.0,0.0,0.0,0.4628298463824091,0.0,0.019371997821691873
00655-00,0.02674194172472956,0.12129687956018821,0.0,0.0,0.0,0.0,0.32101444866863066,0.18712234000412664,0.16807044412000977
00349-00,0.0,0.010235951153739998,0.1060209424083845,0.28524883184146776,0.0,0.0,0.506438742654984,0.4264087645473337,0.045455506479700904
00496-00,0.06976158710799012,0.03206806887708275,0.0,0.0,0.0,0.0,0.29244973409591973,0.2563826095445367,0.24531937681857258
00069-00,0.02674194172472956,0.011433733078193899,0.0,0.0,0.0,0.0,0.5130516761112259,0.019075817722515626,0.015112082181528451
00260-00,0.053483883449459105,0.011709737953839835,0.0,0.0,0.0,0.0,0.30345433652158943,0.5046405537203082,0.013732758555606513
00415-00,0.0,0.009113443286280444,0.0,0.0,0.0,0.0,0.3785644256293086,0.23614733505466606,0.015428068831936155
00393-00,0.0,0.027350894638770367,0.0,0.0,0.0,0.0,0.5110689409384606,0.2866628508966744,0.07270450869504673
00717-00,0.11699599504569178,0.02739447435597762,0.0,0.0,0.0,0.0,0.5937490693022386,0.3795567556646346,0.08836364752943672
00099-00,0.0,0.011662196444159195,0.0,0.0,0.0,0.0,0.19272902167815206,0.2032899640317558,0.15108053197700966
00165-00,0.5988708741290568,0.003256593413123834,0.4821428571428683,0.3349494367639524,0.7,0.6,0.3576505561764429,0.1298054690631069,0.01092369295688352
00428-00,0.05093703185662771,0.013501788749301734,0.0,0.0,0.0,0.0,0.19911527979743934,0.3402318818116351,0.042438515775894
00313-00,0.0,0.04473524001199103,0.0,0.0,0.0,0.0,0.22139547336348867,0.930300721323311,0.02232162590315538
00311-00,0.0,0.006849939186485534,0.0,0.0,0.0,0.0,0.1006124281015983,0.5228660596262703,0.03749688412490754
00200-00,0.0,0.01799182021913995,0.0493654674583786,0.3282732018239549,0.673202614379085,0.4411764705882352,0.6597049316158022,0.25865458809702335,0.008264949022016937
00713-00,0.37209676379211737,0.04975086928329854,0.071025930101466,0.3531690830918923,0.5476190476190477,0.5747899159663865,0.4553558051810624,0.40797762408533683,0.05003114468266438
00628-00,0.009550693473117697,0.35513903910685357,0.0,0.0,0.0,0.0,0.464776520456047,0.2846897532983567,0.05909913083364307
